序号,井号,层位,取样日期,分析日期,取样条件,,,,,物理性质,,,,,阳离子(mg/L),,,,,,,,,阴离子(mg/L),,,,,,,,"总矿化度
(mg/L)",微量元素(mg/L),,,,Na+            —          Cl-,Na+-Cl          —         2SO42-,SO42-×102—                   Cl-,Cl--Na+   — 2Mg2+,Cl--Na+                         —             Mg2+,水型,相对密度,pH,,,,,,,,,,,,,,,
721,SY101,MK组,2015-08-11 00:00:00,2015-08-17 00:00:00,分离器,4596.00-4645.00,35/100,45.67,10.83,灰白,硫化氢,淡,不透明,无,2.4969,6.5434,39.2369,28.1862,0,0,0,0,76.4634,112.3674,15.0452,0,235,0,5.0681,0,367.4807,443.9441,/,0,0,0,0.110106800397118,-8.98655298160459,,1.19920818449132,,氯化钙,1,6.512,,,,,,,,,,,,,,,
722,SY101,MK组,2015-08-16 00:00:00,2015-08-28 00:00:00,分离器,4596.00-4645.00,35/100,44.27,12.08,无,无,淡,透明,无,10.5043,33.6639,170.94,89.3995,0,0,0,0,304.5077,353.0441,3.4971,0,215,0,6.0115,0,577.5527,882.0604,/,0,0,0,0.174258978513855,-112.713945250052,,1.10227668480796,,氯化钙,1.0003,6.676,,,,,,,,,,,,,,,
723,SY101,MK组,2015-08-24 00:00:00,2015-09-02 00:00:00,分离器,4596.00-4645.00,35%,43.95,12.1,无,硫化氢,咸,半透明,黑色沉淀,25,145,496,399,0,0,0,9,1074,1881,19,0,219,0,0,0,2119,3193,/,22,0,11,0.131079616205474,-116.312948275819,,1.38467795566452,,氯化钙,1.0017,6.386,,,,,,,,,,,,,,,
724,SY101,MK组,2015-08-30 00:00:00,2015-09-18 00:00:00,分离器,4596.00-4645.00,35/1010,43.31,12.44,灰白,无,咸,透明,无,46.3138,273.0024,967.6899,801.4481,0.2821,0,0,18.8806,2107.6169,3588.4722,15.8131,0,215,0,0,0,3819.2853,5926.9022,/,9,0,85,0.129172159365914,-267.20080250965,,1.31801204911626,,氯化钙,1.0041,6.55,,,,,,,,,,,,,,,
725,SY101,MK组,2015-09-06 00:00:00,2015-09-18 00:00:00,分离器,4596.00-4645.00,30/100,43.02,12.64,灰白,无,咸,透明,无,45.3837,259.6827,1012.5917,843.5373,0,0,0,18.1688,2179.3642,3762.6388,22.4815,0,220,0,0,0,4005.1203,6184.4845,/,10,0,74,0.117504078791742,-199.70679229656,,1.33061936058285,,氯化钙,1.004,6.496,,,,,,,,,,,,,,,
726,SY101,MK组,2015-09-30 00:00:00,2015-10-13 00:00:00,分离器,4596.00-4645.00,30/100,50.12,15.5,灰白,硫化氢,无,不透明,无,0,1,26.5741,4.1812,0,0,0,0,31.7553,1,7.9434,0,374,0,0,0,382.9434,414.6987,/,0,0,0,1.54347826086957,0.092509988881687,,-0.0439373771694007,,硫酸钠,1.0008,6.82,,,,,,,,,,,,,,,
727,SY101,MK组,2015-10-05 00:00:00,2015-10-13 00:00:00,分离器,4596.00-4645.00,30%,47.22,11.66,灰色,硫化氢,无味,不透明,无,1,6,28,7,0,0,0,0,42,2,11,0,453,0,0,0,466,508,/,0,0,0,5.0855629877369,1.00438936446285,,-0.394581536038976,,碳酸氢钠,1,6.212,,,,,,,,,,,,,,,
728,SY101,MK组,2015-10-12 00:00:00,2015-10-23 00:00:00,分离器,4596.00-4645.00,30/100,45.35,13.04,灰白,硫化氢,淡,不透明,无,3.373,0,19.92,13.6544,0,0,0,0,36.9474,130.1874,21.6804,0,260,0,7.1808,0,419.0486,455.996,/,0,0,0,0.0235836561126105,-7.92774345433812,,3.14690958935274,,氯化钙,0.9998,6.255,,,,,,,,,,,,,,,
729,SY101,MK组,2015-11-16 00:00:00,2015-11-30 00:00:00,分离器,4596.00-4645.00,30/100,42.26,14.07,无,无,咸,透明,少量黑色,8,176,639,536,0,4,0,0,1363,2236,22,0,193,0,12,7,2470,3833,/,10,13,12,0.12474697012303,-120.280610999533,,1.23422268749521,,氯化钙,1.0022,6.27,,,,,,,,,,,,,,,
730,SY101,MK组,2015-11-30 00:00:00,2015-12-09 00:00:00,分离器,4596.00-4645.00,0.3,46.67,14.51,灰白,硫化氢,咸,半透明,无,22,163,497,411,4,0,0,0,1097,1841,0.1,0,275,0,0,0,2116.1,3213.1,/,35,0,7,0.147535359884508,0,,1.29074732390469,,氯化钙,1.0022,6.047,,,,,,,,,,,,,,,
731,SY101,MK组,2015-12-14 00:00:00,2015-12-23 00:00:00,分离器,4596.00-4645.00,30%,41.44,14.77,无色,硫化氢,咸味,透明,无,32,161,641,538,5,0,0,0,1377,2101,12,0,231,0,7,0,2351,3728,/,41,1,11,0.132140982926323,-205.450343084146,,1.14563388336884,,氯化钙,1.0027,5.987,,,,,,,,,,,,,,,
732,SY101,MK组,2015-12-28 00:00:00,2016-01-05 00:00:00,分离器,4596.00-4645.00,30%,41.22,14.94,无色,硫化氢,咸味,透明,无,32,207,728,596,7,2,0,0,1572,3014,12,0,258,0,15,0,3299,4871,/,42,10,15,0.12,-300.32,,1.51,,氯化钙,1.0031,6.138,,,,,,,,,,,,,,,
733,SY101,MK组,2016-01-11 00:00:00,2016-01-14 00:00:00,分离器,4596.00-4645.00,30%,39.83,15.53,无,无,咸,透明,少量黑色,39,274,829,678,5,0,0,0,1825,3372,40,0,225,0,11,4,3652,5477,/,8,17,20,0.14,-98.49,,1.45,,氯化钙,1.0024,6.556,,,,,,,,,,,,,,,
734,SY101,MK组,2016-01-30 00:00:00,2016-02-01 00:00:00,分离器,4596.00-4645.00,30%,39.42,15.61,无,硫化氢,咸,透明,无,37,197,650,534,0,0,0,0,1418,2753,19,0,255,0,10,3,3040,4458,/,28,15,7,0.110448680490848,-174.275566442131,,1.55020400861446,,氯化钙,1.0018,6.242,,,,,,,,,,,,,,,
735,SY101,MK组,2016-02-20 00:00:00,2016-02-23 00:00:00,分离器,4596.00-4645.00,30%,40.45,15.6,灰白,硫化氢,无,半透明,无,3,13,47,34,0,0,0,0,97,165,10,0,171,0,3,1,350,447,/,0,3,0,0.121607378129117,-19.5968156766687,,1.44094232916682,,氯化钙,0.9991,6.042,,,,,,,,,,,,,,,
736,SY101,MK组,2016-02-22 00:00:00,2016-02-29 00:00:00,油套环空,4596.00-4645.00,30%,40.19,15.55,浅黄色,无,微咸,半透明,少量黑色沉淀,133,370,94,25,13,0,0,0,635,717,27,0,525,0,15,7,1291,1926,/,0,28,0,0.796495057910375,-7.30706946995986,,1.97290875688916,,氯化钙,1.0003,5.562,,,,,,,,,,,,,,,
737,SY101,MK组,2016-02-28 00:00:00,2016-03-02 00:00:00,分离器,4596.00-4645.00,30%,40.03,15.59,灰白,硫化氢,无,半透明,无,12,32,97,72,0,0,0,0,213,321,11,0,206,0,4,1,543,756,/,0,0,0,0.153866991737776,-33.3859600289484,,1.27515819555011,,氯化钙,0.9995,6.215,,,,,,,,,,,,,,,
738,SY101,MK组,2016-03-15 00:00:00,2016-03-23 00:00:00,分离器,4596.00-4645.00,30%,41.57,15.62,灰白色,硫化氢,微咸,半透明,无,17,50,118,86,0,0,0,0,271,404,4,0,479,0,0,0,887,1158,/,0,2,0,0.191024537236332,-110.476423759951,,1.28460957860408,,氯化钙,0.9993,6.142,,,,,,,,,,,,,,,
739,SY101,MK组,2016-03-28 00:00:00,2016-03-30 00:00:00,分离器,4596.00-4645.00,30%,40.9,15.1,灰黑色,硫化氢,无,半透明,少量黑色沉淀,5,30,58,46,0,0,0,0,139,202,5,0,218,0,3,0,428,567,/,0,2,0,0.229229444683599,-42.1036129822413,,1.14411991799569,,氯化钙,0.9991,6.083,,,,,,,,,,,,,,,
740,SY101,MK组,2016-04-10 00:00:00,2016-04-13 00:00:00,分离器,4596.00-4645.00,27%,42.67,13.49,灰白,硫化氢,淡,不透明,无,7,39,108,78,2,0,0,0,234,448,4,0,238,0,1,1,692,926,/,0,2,0,0.134365295031056,-131.088793631353,,1.68062555937632,,氯化钙,0.9993,6.205,,,,,,,,,,,,,,,
741,SY101,MK组,2016-04-24 00:00:00,2016-04-27 00:00:00,分离器,4596.00-4645.00,27%,14.18,42.65,灰白,硫化氢,无,半透明,无,2.6257,16.6831,6.105,4.101,0,0,0,0,29.3131,21.6666,4.5324,0,159,0,0,0,185.199,214.5121,/,0,2,0,1.18846529561228,1.21816694042535,,-0.336577654278459,,碳酸氢钠,0.9988,6.246,,,,,,,,,,,,,,,
742,SY101,MK组,2016-05-15 00:00:00,2016-05-19 00:00:00,分离器,4596.00-4645.00,25/100,43.3,13.3,灰白,硫化氢,无,半透明,无,4,56,22,12,3,0,0,2,99,164,6,0,159,0,3,0,332,431,/,0,0,0,0.527041357370095,-17.479485609308,,2.1849357011635,,氯化钙,0.9993,6.292,,,,,,,,,,,,,,,
743,SY101,MK组,2016-05-31 00:00:00,2016-06-12 00:00:00,分离器,4596.00-4645.00,25%,43.04,14.13,灰白色,硫化氢,无,半透明,无,4.3361,7.5131,36.7051,25.2545,1.4065,0,0,0,75.2153,115.3608,3.8073,0,256,0,3.8688,0.3239,379.3608,454.5761,/,0,1,0,0.100522070943849,-36.8505993634654,,1.38887413091253,,氯化钙,0.9988,6.318,,,,,,,,,,,,,,,
744,SY101,MK组,2016-06-16 00:00:00,2016-06-23 00:00:00,分离器,4596.00-4645.00,25%,44.27,14.62,灰白,硫化氢,淡,不透明,无,6.4241,19.2157,119.3514,89.5514,0.8564,0,0,0,234.9909,340.7083,4.908,0,126,0,3.9128,0,475.5291,710.52,/,0,0,0,0.0870510498787124,-85.6914590123926,,1.17411252317893,,氯化钙,0.9991,6.157,,,,,,,,,,,,,,,
745,SY101,MK组,2016-06-27 00:00:00,2016-07-04 00:00:00,分离器,4596.00-4645.00,25%,42.09,14.68,灰白,硫化氢,咸,半透明,无,17.2138,121.7741,293.9353,190.3796,3.9722,0.2065,0,0,627.4815,1077.4006,6.4737,0,156,0,4.5305,0.4374,1244.8422,1872.3237,/,0,3,0,0.174452915737152,-185.771623071318,,1.57925239400229,,氯化钙,0.9999,6.205,,,,,,,,,,,,,,,
746,SY101,MK组,2016-07-10 00:00:00,2016-07-15 00:00:00,分离器,4596.00-4645.00,25%,41.76,14.81,灰白,硫化氢,咸,半透明,无,19.7044,151.846,383.1202,228.4099,4.2045,0,0,0,787.285,1364.4,7.4379,0,106,0,3.748,0.4706,1482.0565,2269.3415,/,0,5,0,0.171775872178247,-205.424452494826,,1.67235147777227,,氯化钙,1.0004,7.105,,,,,,,,,,,,,,,
747,SY101,MK组,2016-07-31 00:00:00,2016-08-02 00:00:00,分离器,4596.00-4645.00,20%,45.43,13.81,无,硫化氢,无,透明,无,2.9345,5.6724,10.6536,4.4208,0.4916,0,0,0,24.1729,30.1471,8.1828,0,173,0,2.2082,0.4676,214.0057,238.1786,/,0,1,0,0.290416858900409,-3.5347587479133,,1.63568946132063,,氯化钙,0.9988,6.234,,,,,,,,,,,,,,,
748,SY101,MK组,2016-08-14 00:00:00,2016-08-18 00:00:00,分离器,4596.00-4645.00,20/100,14.16,44.24,灰白,无,无,不透明,无,5,74,13,4,6,0,3,0,105,229,5,0,188,0,2,0,424,529,/,0,0,0,0.498765900892349,-31.0398040416412,,9.69993876301286,,氯化钙,0.9994,6.295,,,,,,,,,,,,,,,
749,SY101,MK组,2016-08-25 00:00:00,2016-08-31 00:00:00,分离器,4596.00-4645.00,20%,44.06,13.69,灰白,硫化氢,无,不透明,无,5.0401,23.5491,59.2258,31.0308,0,0,0,0,118.8458,118.9878,17.5387,0,121,0,4.5068,5.0713,267.1046,385.9504,/,31,10,12,0.305472694789243,-6.37099470599129,,0.90022626591942,,氯化镁,1.0025,6.396,,,,,,,,,,,,,,,
750,SY101,MK组,2016-09-30 00:00:00,2016-10-08 00:00:00,分离器,4596.00-4645.00,18/100,40.41,11.03,灰白,硫化氢,无,不透明,无,2,21,4,1,3,2,0,0,33,53,30,0,171,0,3,6,263,296,/,29,13,27,0.611566858080394,-0.927862829148806,,6.95897121861605,,氯化钙,1.0052,6.102,,,,,,,,,,,,,,,
751,SY101,MK组,2016-10-14 00:00:00,2016-10-18 00:00:00,分离器,4596.00-4645.00,18%,44.313,15.249,灰白色,硫化氢,无,半透明,无,3.8904,6.3573,43.8422,30.8858,3.167,0,0,0,88.1427,121.0408,8.0084,0,160,0,2.5769,0.4286,292.0547,380.1974,/,0,1,0,0.0810665027645727,-18.7794554847845,,1.21733443284898,,氯化钙,0.9991,6.248,,,,,,,,,,,,,,,
752,SY101,MK组,2016-10-31 00:00:00,2016-11-02 00:00:00,分离器,4596.00-4645.00,0.18,43.2,15.6,灰白,硫化氢,咸味,不透明,无,18,122,366,192,5,0,0,0,703,1412,9,0,125,0,4,0,1550,2253,/,0,3,0,0.144963854965087,-181.380061865059,,2.12554759998116,,氯化钙,1.0004,6.245,,,,,,,,,,,,,,,
753,SY101,MK组,2016-11-14 00:00:00,2016-11-16 00:00:00,分离器,4596.00-4645.00,0,42.6,15.89,灰白,硫化氢,咸,半透明,无,22,161,561,269,3,0,0,0,1016,1284,17,0,190,0,2,8,1501,2517,/,0,0,0,0.193535825545171,-82.3595691797846,,1.30121995916017,,氯化钙,1.0013,5.871,,,,,,,,,,,,,,,
754,SY101,MK组,2016-11-27 00:00:00,2016-12-01 00:00:00,分离器,4596.00-4645.00,18/100,42.3,15.85,无,硫化氢,咸,透明,无,25,172,444,285,0,0,0,0,926,1104,7,0,190,0,3,1,1305,2231,/,0,0,0,0.240469439193447,-161.967981803867,,0.99454023914655,,氯化镁,1.0013,6.82,,,,,,,,,,,,,,,
755,SY101,MK组,2016-11-30 00:00:00,2016-12-01 00:00:00,分离器,4596.00-4645.00,18/100,42.29,15.77,无,硫化氢,咸,透明,无,19,169,331,192,3,0,0,0,714,874,6,0,171,0,2,1,1054,1768,/,0,0,0,0.298452890259676,-138.175137783221,,1.07949326393141,,氯化钙,1.0001,6.794,,,,,,,,,,,,,,,
756,SY101,MK组,2016-12-11 00:00:00,2016-12-20 00:00:00,分离器,4596.00-4645.00,18/100,42,15.8,灰白,硫化氢,咸,透明,无,17,126,383,228,3,0,0,0,757,949,8,0,171,0,2,2,1132,1889,/,0,0,0,0.204929674256655,-127.524800979792,,1.11863860508589,,氯化钙,1.0006,6.439,,,,,,,,,,,,,,,
757,SY101,MK组,2016-12-19 00:00:00,2016-12-26 00:00:00,分离器,4596.00-4645.00,/,42.17,15.53,灰白色,硫化氢,无,半透明,无,5.9243,39.5674,30.4547,19.0062,2.0258,0.0098,0,2.1108,99.099,154.9058,6.6786,0,141,0,0.8303,0.5154,303.9301,403.0291,/,0,0,0,0.394248774023506,-18.9971928692221,,1.6688587447305,,氯化钙,0.9991,6.151,,,,,,,,,,,,,,,
758,SY101,MK组,2016-12-26 00:00:00,2017-01-04 00:00:00,分离器,4596.00-4645.00,18/100,42.07,15.64,灰白,硫化氢,咸,半透明,无,9,62,220,171,0,1,0,0,463,757,21,0,146,0,2,1,927,1390,/,0,0,0,0.126414335764746,-42.5789519727058,,1.30724852547781,,氯化钙,0.9997,6.356,,,,,,,,,,,,,,,
759,SY101,MK组,2016-12-29 00:00:00,2017-01-04 00:00:00,分离器,4596.00-4645.00,18/100,41.97,15.7,灰白,硫化氢,咸,透明,无,17,177,398,307,4,0,0,0,903,1606,23,0,178,0,4,4,1815,2718,/,0,0,0,0.170109372461963,-78.3522457999414,,1.46750948973832,,氯化钙,1.0011,6.125,,,,,,,,,,,,,,,
760,SY101,MK组,2017-01-06 00:00:00,2017-01-16 00:00:00,分离器,4596.00-4645.00,18%,41.82,15.74,灰白色,硫化氢,无,不透明,无,22.0876,124.2533,369.3707,275.1342,5.3212,3.2782,0,0,799.4452,1167.0418,8.6655,0,172,0,2,1.7544,1351.4617,2150.9069,/,0,5,0,0.164331960852905,-152.173651432116,,1.19819780354914,,氯化钙,1.0005,6.612,,,,,,,,,,,,,,,
761,SY101,MK组,2017-01-23 00:00:00,2017-02-03 00:00:00,分离器,4596.00-4645.00,18%,41.6,15.73,无,硫化氢,咸味,透明,无,27.7556,56.7057,409.2374,323.2106,0,0,0,0,816.9093,1093.027,17.2836,0,129,0,3.8788,4.1275,1247.3169,2064.2262,/,0,10,0,0.0800748885593781,-78.661467028689,,1.05160020396689,,氯化钙,1.0004,5.842,,,,,,,,,,,,,,,
762,SY101,MK组,2017-02-26 00:00:00,2017-03-01 00:00:00,分离器,4596.00-4645.00,18/100,41.13,15.86,灰白,硫化氢,咸,透明,无,18,114,387,303,2,0,0,5,829,1002,8,0,203,0,3,1,1217,2046,/,0,0,0,0.175605311116897,-139.612982241274,,0.921537836576064,,氯化镁,1.0009,5.276,,,,,,,,,,,,,,,
763,SY101,MK组,2017-03-12 00:00:00,2017-03-15 00:00:00,分离器,4596.00-4645.00,18/100,40.88,15.88,无,无,咸,半透明,无,15,104,381,293,2,0,0,12,807,1280,13,0,178,0,5,3,1479,2286,/,0,0,0,0.125407608695652,-116.435442083942,,1.29151940878092,,氯化钙,1.0007,5.761,,,,,,,,,,,,,,,
764,SY101,MK组,2017-03-27 00:00:00,2017-04-10 00:00:00,分离器,4596-4645,18%,40.73,15.84,灰色,硫化氢,咸味,半透明,无,24.5233,169.5387,458.38,354.2962,3.6575,0,0.2388,11.9555,1022.59,1622.6156,18.4164,0,190,0,2.2068,5.5889,1838.8277,2861.4177,/,19,11,14,0.175027152981722,-98.2796150386429,,1.2771493896898,,氯化钙,1.0011,4.905,,,,,,,,,,,,,,,
765,SY101,MK组,2017-04-14 00:00:00,2017-05-04 00:00:00,分离器,4596-4645,18%,40.53,15.86,无,硫化氢,咸味,半透明,无,15.7513,121.0078,398.8605,304.2709,1.9732,0.8462,0,9.373,852.0829,1315.1855,28.0928,0,142,0,2.1994,5.36,1492.8377,2344.9206,/,0,9,0,0.152914269880959,-53.6206698207218,,1.23767566430077,,氯化钙,1.0005,7.48,,,,,,,,,,,,,,,
766,SY101,MK组,2017-05-29 00:00:00,2017-06-07 00:00:00,分离器,4596-4645,12%,42.27,17.32,黑灰色,硫化氢,无,不透明,无,2,6,26,7,0,2.4062,0,0,131.996,242,126,0,142,0,5.9345,0,515.9345,647.9305,/,13,0,335,0.0457908363046703,-2.47799992074334,,11.150999643345,,氯化钙,1.0133,8.23,,,,,,,,,,,,,,,
767,SY101,MK组,2017-06-14 00:00:00,2017-06-26 00:00:00,分离器,4596.00-4645.00,10%,40.15,16.62,灰白色,硫化氢,无,半透明,无,4.0558,24.4186,167.0458,136.8645,0,1.4924,0,0,333.8771,518.8691,5.1378,0,93,0,7.3109,0,624.3178,958.1949,/,0,0,0,0.0797530556542826,-125.660239198889,,1.17929992247086,,氯化钙,1,6.599,,,,,,,,,,,,,,,
768,SY101,MK组,2017-06-26 00:00:00,2017-07-11 00:00:00,分离器,4596.00-4645.00,10%,39.94,16.75,无,硫化氢,无,透明,无,1.1724,4.3674,28.6269,14.3583,1.9423,0.166,0,0,50.6333,53.9223,8.1151,0,117,0,3.9009,0.7794,183.7177,234.351,/,9,1,7,0.144804126899378,-7.68339239108765,,1.08563509595348,,氯化钙,0.9993,7.619,,,,,,,,,,,,,,,
769,SY101,MK组,2017-07-29 00:00:00,2017-08-02 00:00:00,分离器,4596-4645,10%,39.47,16.51,无,硫化氢,咸味,透明,无,21.296,134.2177,389.9589,278.0505,0.9379,1.4569,0,4.881,830.7989,1258.2932,14.6192,0,93,0,3.1238,3.6367,1372.6729,2203.4718,/,0,8,0,0.180043031851983,-95.4250041061895,,1.25430202429883,,氯化钙,1.0008,5.702,,,,,,,,,,,,,,,
770,SY101,MK组,2017-08-06 00:00:00,2017-08-09 00:00:00,分离器,4596.00-4645.00,10/100,39.85,15.77,灰白,硫化氢,咸,半透明,无,8,63,114,84,2,0,0,3,274,444,6,0,167,0,2,0,619,893,/,0,0,0,0.21900705052879,-78.1432945499081,,1.3954159741055,,氯化钙,0.9999,5.7,,,,,,,,,,,,,,,
771,SY101,MK组,2017-08-13 00:00:00,2017-08-16 00:00:00,分离器,4596.00-4645.00,10%,39.28,16.51,无,硫化氢,咸味,透明,无,18.9552,172.388,525.4571,387.9231,0,0,0,7.5972,1112.3206,1646.7582,10.9904,0,128,0,3.6985,3.3904,1792.8375,2905.1581,/,0,6,0,0.161576320333357,-169.860639808392,,1.2030969383817,,氯化钙,1.0014,5.66,,,,,,,,,,,,,,,
772,SY101,MK组,2017-08-20 00:00:00,2017-08-25 00:00:00,分离器,4596-4645,10%,39.18,16.5,无,硫化氢,咸味,半透明,无,26.6746,222.9455,512.8904,386.8835,4.3718,5.3147,0,16.7314,1175.8119,1646.0027,21.8513,0,161,0,0.6398,3.7154,1833.2092,3009.0211,/,0,12,0,0.223810239345125,-79.0558581572945,,1.11627484330069,,氯化钙,1.0013,5.828,,,,,,,,,,,,,,,
773,SY101,MK组,2017-08-27 00:00:00,2017-08-30 00:00:00,分离器,4596.00-4645.00,10%,39.18,46.34,白色,硫化氢,咸味,半透明,无,14.2702,105.449,303.8419,230.2898,4.9823,0,0,6.5977,665.4309,1035.2556,30.5871,0,150,0,5.7022,5.4399,1226.9848,1892.4157,/,0,16,0,0.16976269450373,-37.9948219471776,,1.26161842424254,,氯化钙,1.0007,5.707,,,,,,,,,,,,,,,
774,SY101,MK组,2017-09-03 00:00:00,2017-09-11 00:00:00,分离器,4596.00-4645.00,10%,39.06,16.38,无,硫化氢,咸味,透明,无,17.9902,149.6778,382.436,285.5078,4.0935,0.8536,0,9.4943,850.0532,1486.5228,19.594,0,161,0,2.4125,3.3471,1672.8764,2522.9296,/,0,13,0,0.15541263843029,-86.6375043511889,,1.48645261202776,,氯化钙,1.001,5.663,,,,,,,,,,,,,,,
775,SY101,MK组,2017-09-21 00:00:00,2017-10-09 00:00:00,分离器,4596.00-4645.00,10%,43.52,14.01,白色,硫化氢,无,不透明,无,1.1289,6.5524,12.1569,4.941,0.5062,0,0,0.1664,25.4518,22.3424,5.5423,0,150,0,2.989,0.6037,181.4774,206.9292,/,0,1,0,0.498651685497538,-2.73270175845087,,0.766315166760892,,氯化镁,0.9997,5.802,,,,,,,,,,,,,,,
776,SY101,MK组,2017-09-28 00:00:00,2017-10-11 00:00:00,分离器,4596.00-4645.00,8/100,41.78,15.95,灰白,硫化氢,无,不透明,无,1,6,9,3,0,1,0,0,20,49,13,6,155,0,3,0,226,246,/,0,1,0,0.188997338065661,-4.13321399971737,,4.47764849969381,,氯化钙,0.9995,6.28,,,,,,,,,,,,,,,
777,SY101,MK组,2017-10-08 00:00:00,2017-10-12 00:00:00,分离器,4596.00-4645.00,8%,40.47,16.67,灰白色,硫化氢,无,不透明,无,1.4457,6.8477,18.1401,10.2712,0.6601,0,0,1.2768,38.6416,39.2894,6.1209,0,117,0,1.1713,0.4053,163.9869,202.6285,/,0,1,0,0.302504843017817,-6.05360658135434,,0.901879053173236,,氯化镁,0.9995,5.761,,,,,,,,,,,,,,,
778,SY101,MK组,2017-10-15 00:00:00,2017-10-20 00:00:00,分离器,4596.00-4645.00,8%,39.94,16.84,白色,硫化氢,咸味,不透明,无,17.2499,132.2937,286.7559,210.1489,0.8544,0,0,8.5771,655.8799,1123.3717,21.4788,0,126,0,4.4141,5.0887,1280.3533,1936.2332,/,0,18,0,0.19574490086521,-56.8748379490061,,1.4532591763972,,氯化钙,1.0008,5.769,,,,,,,,,,,,,,,
779,SY101,MK组,2017-10-19 00:00:00,2017-10-26 00:00:00,分离器,4596.00-4645.00,8/100,39.78,16.84,无,无,咸,透明,无,19,158,385,279,5,0,0,10,856,1222,22,0,167,0,2,4,1417,2273,/,0,14,0,0.199565928983135,-60.1155708957301,,1.18507397823124,,氯化钙,1.001,5.62,,,,,,,,,,,,,,,
780,SY101,MK组,2017-10-29 00:00:00,2017-11-02 00:00:00,分离器,4596.00-4645.00,8%,39.48,16.84,无,硫化氢,咸味,透明,无,17.6824,127.4025,342.1956,252.1864,4.5186,0,0,9.3633,753.3488,1323.9214,16.205,0,133,0,3.7934,1.911,1478.8308,2232.1796,/,0,0,0,0.160688170067462,-92.7148704063703,,1.48941861549159,,氯化钙,1.0001,5.675,,,,,,,,,,,,,,,
781,SY101,MK组,2017-11-05 00:00:00,2017-11-23 00:00:00,分离器,4596.00-4645.00,8/100,39.28,16.82,无,硫化氢,咸,半透明,无,17,136,399,295,4,0,0,11,862,1155,15,0,146,0,2,0,1318,2180,/,0,0,0,0.181742894786373,-85.1909369259032,,1.0829356388886,,氯化钙,1,5.544,,,,,,,,,,,,,,,
782,SY101,MK组,2017-11-12 00:00:00,2017-11-28 00:00:00,分离器,4596.00-4645.00,8%,39.13,16.83,白色,硫化氢,咸味,不透明,无,14.5166,112.9421,371.0709,276.1217,5.1414,0,0,8.1831,787.9758,1180.485,22.8415,0,139,0,2.5321,0,1344.8586,2132.8344,/,0,0,0,0.15886479226088,-58.77796535276,,1.21556626625603,,氯化钙,1.0001,5.621,,,,,,,,,,,,,,,
783,SY101,MK组,2017-11-19 00:00:00,2017-12-06 00:00:00,分离器,4596.00-4645.00,8%,38.93,16.9,灰白色,硫化氢,咸味,半透明,无,17.9607,127.2542,411.2534,315.0816,0,5.6683,0,5.668,882.8862,1319.2618,17.7371,0,139,0,0.8718,0,1476.8707,2359.7569,/,0,0,0,0.161274232007658,-84.3492534453281,,1.18708228541839,,氯化钙,1.0003,5.49,,,,,,,,,,,,,,,
784,SY101,MK组,2017-11-26 00:00:00,2017-12-12 00:00:00,分离器,4596.00-4645.00,8/100,38.83,16.87,灰白,无,咸,不透明,无,12,120,364,282,0,0,0,0,778,1208,12,0,180,0,4,3,1407,2185,/,0,0,0,0.162367937274358,-114.012341608177,,1.21289725115082,,氯化钙,1.0001,5.603,,,,,,,,,,,,,,,
785,SY101,MK组,2017-11-30 00:00:00,2017-12-12 00:00:00,分离器,4596.00-4645.00,8/100,38.75,16.86,灰白,无,咸,不透明,无,11,105,316,244,0,0,0,0,676,1028,11,0,194,0,4,4,1241,1917,/,0,0,0,0.167391087455374,-105.209357696804,,1.18576120355005,,氯化钙,0.9999,5.482,,,,,,,,,,,,,,,
786,SY101,MK组,2017-12-10 00:00:00,2017-12-25 00:00:00,分离器,4596.00-4645.00,8%,38.58,16.84,灰白色,硫化氢,无,半透明,无,15.5541,140.3439,337.886,246.7377,28.7719,0,0,0,769.2936,1079.8347,20.2793,0,117,0,4.4608,0,1221.5748,1990.8684,/,0,0,0,0.213714171184183,-56.6105862052379,,1.16320191526455,,氯化钙,1,5.295,,,,,,,,,,,,,,,
787,SY101,MK组,2017-12-14 00:00:00,2018-01-02 00:00:00,分离器,4596.00-4645.00,0.08,38.54,16.84,无,硫化氢,咸味,透明,无,17.9096,93.915,283.9972,220.8805,28.9919,0,0,0,645.6942,977.5664,9.0818,0,122,0,0.0767,17.4173,1126.1422,1771.8364,/,0,0,0,0.164958706717716,-121.533265957436,,1.24925108234118,,氯化钙,1,5.602,,,,,,,,,,,,,,,
788,SY101,MK组,2017-12-24 00:00:00,2018-01-09 00:00:00,分离器,4596.00-4645.00,0.08,38.35,16.85,灰白色,硫化氢,咸味,半透明,无,15,93,313,254,15,0,0,0,690,1101.6723,6.9791,0,128,0,1.797,0,1238.4484,1928.4484,/,0,0,0,0.142689731251948,-182.98012447262,,1.25692577431778,,氯化钙,0.9994,5.312,,,,,,,,,,,,,,,
789,SY101,MK组,2017-12-30 00:00:00,2018-01-12 00:00:00,分离器,4596.00-4645.00,8/100,38.2,16.8,灰白,无,咸,透明,无,2,116,281,227,7,5,0,0,638,946,9,0,222,0,0,0,1177,1815,/,0,0,0,0.191188151248819,-114.950010729558,,1.13937235304628,,氯化钙,1.0001,6.175,,,,,,,,,,,,,,,
